playerid	position	teamid	number	firstname	lastname	nationality	prefFoot	accel	aggression	awareness	ballcontrol	crossing	dribbling	heading	longpassing	marking	sprint	shortpassing	reflexes	finishing	shotpower	stamina	strength	standingtackle	positioning	composure	handling	gkpositioning	reactions	longshots	freekick	diving	WFA	potential	ovr	skill
201153	ST	5	9	Álvaro Borja	Morata Martín	45	0	78	54	71	84	73	83	79	51	24	86	78	24	82	80	70	82	24	83	79	24	24	81	78	44	4	3	88	81	ACCELERATION
204233	RM	5	17	Charly	Musonda	7	0	89	32	50	80	72	83	39	70	21	86	73	25	66	70	66	47	25	68	66	25	25	72	62	56	6	4	86	76	SETPIECES
204254	RB	5	48	Wallace	Oliveira dos Santos	54	0	76	75	56	72	70	71	44	66	65	75	70	25	59	75	76	67	69	63	58	25	25	64	60	59	13	2	72	68	AGGRESSION
204529	ST	5	23	Michy	Batshuayi	7	0	77	61	57	77	65	76	73	36	25	80	64	25	83	83	65	82	26	83	81	25	25	79	76	46	9	3	85	78	ACCELERATION
205452	CB	5	2	Antonio	Rüdiger	21	0	73	89	82	68	68	59	78	65	82	75	70	25	27	70	65	83	84	33	73	25	25	82	40	56	14	2	86	82	DEFENDING
209620	LB	5	25	Abdul Rahman	Baba	117	1	81	73	62	77	77	76	67	67	72	83	73	20	48	59	77	71	78	63	69	20	20	76	47	23	12	2	83	75	BALANCED
213661	CB	5	27	Andreas	Christensen	13	0	70	73	67	72	49	68	79	72	83	73	76	20	36	31	69	72	88	32	74	20	20	80	20	22	10	2	90	80	DEFENDING
213676	GK	5	41	Mitchell	Beeney	14	0	45	25	25	24	20	20	20	46	20	45	22	54	20	21	34	61	20	13	29	49	51	54	20	13	56	2	63	52	GKPOSITIONING
215639	LM	5	16	Robert Kenedy	Nunes do Nascimento	54	1	83	34	41	77	63	77	66	65	43	78	66	21	64	75	73	70	48	67	66	21	21	67	66	54	11	1	81	70	CROSSING
215914	CDM	5	7	N'Golo	Kanté	18	0	82	90	87	79	67	77	54	79	75	80	84	21	65	72	94	77	89	71	84	21	21	87	66	49	15	2	90	80	GENERALIST
216150	RB	5	21	Davide	Zappacosta	27	0	78	75	76	73	79	76	68	66	75	85	72	21	60	74	90	71	77	71	72	21	21	75	72	59	11	1	83	76	BALANCED
219809	CDM	5	14	Tiémoué	Bakayoko	18	0	75	85	79	78	54	75	72	78	80	72	80	22	39	72	86	82	84	60	74	22	22	78	51	37	11	2	88	79	HOLDING
223938	LW	5	76	Kylian	Hazard	7	0	78	40	51	70	54	69	39	62	25	73	64	22	52	54	40	46	34	53	57	22	22	42	56	54	12	3	73	63	LONGSHOTS
230774	CB	5	35	Jake	Clarke-Salter	14	1	62	49	40	50	36	34	65	56	61	64	54	20	32	44	66	68	68	28	58	20	20	55	25	28	8	2	79	62	STRENGTH
230918	CB	5	50	Trevoh	Chalobah	14	0	71	58	51	51	48	49	60	48	57	72	54	20	35	50	54	70	60	34	51	20	20	54	31	46	5	2	78	61	STRENGTH
232757	CM	5	36	Kyle	Scott	95	0	61	48	53	63	56	64	31	61	40	65	63	20	49	54	60	37	52	50	62	20	20	48	51	53	12	2	75	58	AWARENESS
232758	CM	5	46	Ruben	Sammut	42	0	57	67	47	58	37	42	38	51	48	58	62	20	34	42	54	57	65	39	58	20	20	50	36	50	11	2	69	52	AWARENESS
232837	CB	5	47	Ali	Suljic	46	0	55	56	36	48	34	28	62	47	45	60	49	20	25	37	61	66	57	29	43	20	20	43	22	21	14	1	71	55	PHYSICAL
232838	CM	5	43	Isaac	Christie-Davies	14	0	49	45	48	60	42	56	38	54	41	50	61	20	48	61	52	63	38	51	55	20	20	41	56	56	10	2	70	53	AWARENESS
232839	LM	5	45	Miro	Muheim	47	1	60	47	51	55	52	53	41	41	31	66	48	20	56	61	48	60	32	57	46	20	20	45	60	51	11	2	68	53	AWARENESS
233046	CB	5	53	Josh	Grant	14	0	68	49	48	34	41	27	48	34	46	60	38	20	25	41	62	61	55	25	43	20	20	38	22	21	8	2	66	51	PHYSICAL
233052	RM	5	54	Jacob	Maddox	14	0	71	32	39	56	53	63	28	47	25	66	54	20	55	52	58	46	28	55	49	20	20	46	50	53	9	2	74	56	AWARENESS
234804	CB	5	51	Joseph	Colley	46	0	60	62	41	32	48	28	51	34	52	50	36	20	21	50	54	66	55	28	52	20	20	42	46	26	14	1	67	54	PHYSICAL
234805	LB	5	52	Cole	Dasilva	50	1	68	43	39	34	54	42	34	31	45	70	36	20	32	61	44	49	51	31	48	20	20	48	60	65	6	2	64	49	REACTIONS
234820	LW	5	57	Harvey	St Clair	42	0	65	52	51	54	54	58	27	51	27	69	55	20	50	56	40	40	30	56	44	20	20	41	51	57	8	2	70	56	LONGSHOTS
235735	CB	5	44	Ethan	Ampadu	50	0	63	48	44	55	27	56	52	60	53	55	61	21	23	52	61	63	58	29	51	21	21	51	21	27	13	2	83	56	AGGRESSION
238070	GK	5	61	Jamie	Cumming	14	0	21	23	16	21	21	21	21	56	21	29	26	52	21	21	27	50	21	4	29	51	46	51	21	14	55	1	72	51	GKGENERALIST
238071	RB	5	66	Dujon	Sterling	14	0	73	59	39	54	55	69	56	38	60	75	54	21	50	53	59	70	64	42	49	21	21	58	37	34	11	2	82	60	BALANCED
238074	CM	5	64	Reece	James	14	0	64	63	57	58	50	54	54	66	50	62	70	21	39	67	62	62	48	57	48	21	21	59	44	48	8	1	76	59	SETPIECES
238075	ST	5	67	Martell	Taylor-Crossdale	14	0	68	40	38	64	42	68	50	41	21	72	56	21	63	70	50	65	21	44	56	21	21	61	60	37	7	2	80	61	SHOTPOWER
238186	GK	5	59	Marcin	Bulka	37	0	27	23	20	21	21	21	21	56	21	25	28	58	21	22	21	70	21	8	35	54	52	49	21	14	57	1	76	55	GKGENERALIST
238187	RB	5	56	Richard	Nartey	14	0	68	47	34	38	46	46	40	27	41	57	30	21	29	27	55	60	53	43	40	21	21	53	23	27	14	1	65	46	REACTIONS
238188	CM	5	55	Luke	McCormick	14	0	66	56	47	44	41	48	48	55	33	66	60	21	31	45	63	52	36	50	39	21	21	51	36	30	10	1	69	50	SETPIECES
238189	CM	5	68	Tariq	Uwakwe	14	1	67	59	50	45	43	46	45	47	32	60	56	21	27	54	63	59	35	48	39	21	21	53	36	31	10	2	66	48	SETPIECES
238190	LM	5	60	Juan	Castillo	34	1	73	44	59	57	52	59	42	55	40	75	57	21	44	50	55	60	48	48	53	21	21	54	37	43	14	1	78	58	AWARENESS
238191	ST	5	58	Charlie	Brown	14	0	55	49	36	48	29	47	60	24	21	59	41	21	51	46	54	63	21	56	43	21	21	44	42	22	12	1	71	51	POSITIONING
238216	CM	5	62	Conor	Gallagher	14	0	66	51	48	50	42	46	47	49	33	64	57	21	34	48	61	59	35	51	39	21	21	54	39	40	7	1	73	49	SETPIECES
241159	CB	5	63	Marc	Guehi	14	0	60	55	35	40	33	34	56	41	57	62	48	22	22	47	56	58	60	28	40	22	22	48	21	32	8	1	77	57	MARKING
241160	CAM	5	65	George	McEachran	14	1	64	48	55	61	54	58	38	60	44	62	66	22	40	47	54	36	55	53	63	22	22	50	32	53	8	2	81	56	LONGSHOTS
230774	CB	5	35	Jake	Clarke-Salter	14	1	74	61	52	62	48	46	77	68	73	76	66	32	44	56	78	80	80	40	70	32	32	67	37	40	20	2	79	74	STRENGTH
183277	LM	5	10	Eden	Hazard	7	0	93	54	75	92	80	93	57	81	25	87	86	21	83	80	79	65	27	85	87	21	21	85	82	79	11	3	91	87	DRIBBLING
179944	CB	5	30	David Luiz	Moreira Marinho	54	0	75	90	82	83	72	72	87	82	84	76	83	24	59	81	80	85	89	58	82	24	24	83	75	80	15	2	86	86	TACKLING
215914	CM	5	7	N'Golo	Kanté	18	0	87	94	92	84	74	82	65	64	80	85	88	25	72	78	98	83	93	78	88	25	25	91	72	53	19	2	90	85	GENERALIST
183277	CAM	5	10	Eden	Hazard	7	0	95	55	75	94	81	95	58	82	26	89	87	22	84	81	80	66	28	86	88	22	22	86	83	80	12	3	91	88	BALLCONTROL
204233	RW	5	17	Charly	Musonda	7	0	92	35	53	83	75	86	42	73	24	89	76	28	69	73	69	50	28	71	69	28	28	75	65	59	9	4	86	78	SETPIECES
2147	GK	7	22	Maarten	Stekelenburg	34	0	35	41	36	31	21	21	21	79	21	45	39	75	21	21	30	77	21	13	63	73	72	73	21	13	76	3	75	74	GKPOSITIONING
53914	CB	7	6	Phil	Jagielka	14	0	47	79	81	62	55	49	79	66	81	52	71	34	30	69	71	80	84	51	76	33	32	74	54	31	32	2	80	78	PHYSICAL
54050	CAM	7	10	Wayne	Rooney	14	0	67	81	85	80	78	73	75	82	48	68	81	21	80	86	78	83	51	79	88	21	21	83	79	81	10	3	81	79	PASSING
152747	RM	7	12	Aaron	Lennon	14	0	84	57	82	80	78	82	28	54	40	82	76	25	65	64	70	59	37	71	77	25	25	74	57	55	14	2	77	76	PASSING
163631	LB	7	3	Leighton	Baines	14	1	73	74	82	80	86	78	74	74	81	68	81	21	63	84	81	64	81	73	81	21	21	83	75	82	8	2	82	79	PHYSICAL
163824	CB	7	5	Ashley	Williams	50	0	62	83	83	66	32	57	78	74	80	67	71	21	37	64	70	86	84	28	73	21	21	80	40	23	7	3	82	80	TACKLING
172175	LM	7	11	Kevin	Mirallas	7	0	82	58	64	85	81	84	64	77	40	84	80	23	77	77	76	62	52	80	74	23	23	76	76	76	8	3	81	80	GENERALIST
177358	CDM	7	2	Morgan	Schneiderlin	18	0	67	83	82	84	65	74	71	80	76	68	86	20	61	71	89	77	82	65	83	20	20	81	56	61	6	2	85	79	PHYSICAL
180216	RB	7	23	Séamus	Coleman	25	0	74	78	81	78	81	78	67	70	82	72	78	20	62	75	84	73	84	75	78	20	20	83	68	35	5	2	81	78	AGGRESSION
184484	CAM	7	18	Gylfi	Sigurdsson	24	0	65	57	76	84	86	79	60	78	55	66	84	21	81	82	86	67	56	80	81	21	21	78	84	89	13	2	82	80	SHORTPASSING
188253	CDM	7	16	James	McCarthy	25	0	72	79	80	74	68	76	63	81	79	68	82	22	55	67	90	78	78	63	75	22	22	75	65	64	12	3	83	77	PASSING
189157	RM	7	7	Yannick	Bolasie	110	0	86	76	60	82	75	87	51	67	27	87	71	22	64	81	76	82	34	69	69	22	22	74	71	49	8	3	78	77	AWARENESS
192319	LB	7	36	Luke	Garbutt	14	1	71	67	68	69	75	66	59	63	68	70	70	22	45	58	74	66	67	64	63	22	22	66	63	74	14	2	77	69	PHYSICAL
193474	CDM	7	17	Idrissa	Gueye	136	0	78	84	86	79	60	75	69	74	80	75	82	23	50	80	88	76	87	67	80	23	23	79	67	43	8	2	84	80	GENERALIST
195668	GK	7	33	Joel	Robles Blázquez	45	0	49	23	51	25	23	23	23	75	23	52	23	77	23	36	30	72	23	16	37	69	72	67	23	20	78	1	76	73	GKGENERALIST
199189	CAM	7	8	Ross	Barkley	14	0	77	73	67	87	65	85	65	78	56	77	84	24	69	80	74	82	58	71	80	24	24	77	79	70	9	4	86	79	LONGPASSING
199667	CB	7	25	Ramiro	Funes Mori	52	1	66	83	62	68	73	63	80	55	75	70	67	24	40	69	72	79	78	49	64	24	24	71	56	58	9	2	81	77	DEFENDING
200765	CDM	7	21	Muhamed	Bešić	8	0	65	84	69	78	45	71	67	69	74	71	75	24	51	55	69	75	77	46	76	24	24	72	48	57	14	2	82	74	AWARENESS
203483	CM	7	20	Davy	Klaassen	34	0	73	76	84	81	63	72	74	75	59	73	83	25	82	78	92	74	74	84	80	25	25	84	78	44	12	2	85	78	SETPIECES
204519	RB	7	15	Cuco	Martina	85	0	69	71	70	61	71	62	65	60	68	72	62	25	45	61	82	73	72	53	71	25	25	72	60	45	13	2	71	68	AGGRESSION
204935	GK	7	1	Jordan	Pickford	14	1	48	23	29	38	25	25	25	85	25	41	50	82	25	31	44	50	25	18	51	76	73	68	25	16	77	2	85	76	REFLEXES
207599	CB	7	4	Michael	Keane	14	0	73	68	73	71	60	66	84	71	84	72	74	25	50	58	79	88	82	29	75	25	25	76	46	33	16	2	87	80	DEFENDING
208339	ST	7	34	Oumar	Niasse	136	0	81	56	69	70	56	73	74	35	25	74	64	25	75	76	75	77	23	75	67	25	25	70	71	39	16	2	75	74	ACCELERATION
208668	LM	7	58	David	Henen	7	0	71	47	48	65	53	68	54	44	20	75	57	20	59	61	56	68	20	49	52	20	20	48	58	52	11	3	74	60	AWARENESS
213700	ST	7	63	Sam	Byrne	25	0	69	30	31	46	32	51	51	33	20	65	36	20	59	42	65	60	20	57	47	20	20	46	42	30	16	2	61	53	POSITIONING
215598	CAM	7	49	Shani	Tarashaj	47	0	77	56	50	67	63	70	56	51	21	76	66	21	69	67	64	60	23	79	62	21	21	64	53	30	9	3	79	65	SETPIECES
217731	ST	7	9	Sandro	Ramírez Castillo	45	0	76	62	59	81	65	75	62	49	21	75	68	21	84	80	65	68	25	77	65	21	21	73	77	81	12	3	85	76	SHOTPOWER
221479	ST	7	29	Dominic	Calvert-Lewin	14	0	79	49	46	66	46	65	52	35	23	81	50	22	69	65	69	62	31	63	55	22	22	57	56	42	12	2	79	65	HEADING
224263	RB	7	43	Jonjoe	Kenny	14	0	54	59	45	52	46	47	62	50	56	62	57	22	28	44	62	60	60	35	48	22	22	53	30	34	6	2	72	56	PHYSICAL
224266	ST	7	47	Calum	Dyson	14	0	47	38	43	58	40	53	63	42	21	47	50	22	64	62	52	60	21	56	52	22	22	56	61	40	16	1	69	57	POSITIONING
224447	LB	7	50	Gethin	Jones	50	0	71	66	61	62	55	59	65	58	63	64	64	22	42	58	56	66	63	41	54	22	22	64	44	44	13	1	73	63	REACTIONS
225024	RB	7	30	Mason	Holgate	14	0	75	63	50	67	43	65	62	59	65	76	68	23	37	51	74	75	71	50	66	23	23	65	42	35	13	2	82	66	REACTIONS
225383	LM	7	37	Harry	Charsley	25	0	52	49	66	67	51	63	58	68	47	53	68	23	49	53	46	41	55	56	61	23	23	59	44	48	10	1	70	60	SETPIECES
227854	CB	7	38	Matty	Foulds	14	1	60	46	45	60	32	42	55	29	56	51	61	23	22	38	60	62	61	28	45	23	23	49	23	23	7	2	76	57	PHYSICAL
229345	GK	7	41	Mateusz	Hewelt	37	0	47	30	22	23	23	23	23	48	23	42	25	64	23	30	24	40	23	17	22	52	55	57	23	17	65	1	73	59	GKPOSITIONING
230005	CM	7	26	Tom	Davies	14	0	74	77	60	77	66	73	52	71	54	73	79	23	64	70	81	69	64	66	74	23	23	65	56	55	11	2	85	70	SHORTPASSING
230899	LM	7	31	Ademola	Lookman	14	0	85	68	52	66	51	75	49	39	20	83	53	20	68	70	58	57	20	69	60	20	20	59	69	34	12	3	82	64	SETPIECES
